Subject,Acquisition,Radiographer1,Radiographer2,Radiologist1,Radiologist2
sub-16,acq-t2tsepmcon_rec-wore_run-02,3,3,3,3
sub-16,acq-t2tsepmcon_rec-wre_run-01,4,4,4,3
sub-17,acq-t2tsepmcoff_rec-wre_run-02,3,2,3,3
sub-17,acq-t2tsepmcoff_rec-wore_run-02,2,2,2,2
sub-17,ref_t2tse,4,4,4,4
sub-17,acq-t2tsepmcon_rec-wre_run-02,3,2,3,3
sub-17,acq-t2tsepmcon_rec-wore_run-02,2,2,2,2
sub-17,acq-t2tsepmcon_rec-wre_run-01,4,4,5,2
sub-18,acq-t2tsepmcoff_rec-wre_run-02,3,3,3,3
sub-18,acq-t2tsepmcoff_rec-wore_run-02,3,2,2,3
sub-18,ref_t2tse,5,5,5,4
sub-18,acq-t2tsepmcon_rec-wre_run-02,3,3,3,3
sub-18,acq-t2tsepmcon_rec-wore_run-02,2,3,3,2
sub-18,acq-t2tsepmcon_rec-wre_run-01,3,3,4,4
sub-19,acq-t2tsepmcoff_rec-wre_run-02,3,3,3,2
sub-19,acq-t2tsepmcoff_rec-wore_run-02,2,2,2,2
sub-19,ref_t2tse,3,3,3,3
sub-19,acq-t2tsepmcon_rec-wre_run-02,4,4,4,4
sub-19,acq-t2tsepmcon_rec-wore_run-02,4,3,4,3
sub-19,acq-t2tsepmcon_rec-wre_run-01,5,4,5,4
sub-20,acq-t2tsepmcoff_rec-wre_run-02,3,3,3,3
sub-20,acq-t2tsepmcoff_rec-wore_run-02,3,2,3,3
sub-20,ref_t2tse,4,4,5,4
sub-20,acq-t2tsepmcon_rec-wre_run-02,3,3,4,3
sub-20,acq-t2tsepmcon_rec-wore_run-02,3,3,3,3
sub-20,acq-t2tsepmcon_rec-wre_run-01,4,4,4,3
sub-21,acq-t2tsepmcoff_rec-wre_run-02,3,3,2,2
sub-21,acq-t2tsepmcoff_rec-wore_run-02,2,2,1,2
sub-21,ref_t2tse,4,3,4,3
sub-21,acq-t2tsepmcon_rec-wre_run-02,4,3,4,3
sub-21,acq-t2tsepmcon_rec-wore_run-02,3,3,3,3
sub-21,acq-t2tsepmcon_rec-wre_run-01,5,5,5,4
sub-22,acq-t2tsepmcoff_rec-wre_run-02,1,2,1,1
sub-22,acq-t2tsepmcoff_rec-wore_run-02,1,2,1,1
sub-22,ref_t2tse,5,5,4,4
sub-22,acq-t2tsepmcon_rec-wre_run-02,3,3,4,3
sub-22,acq-t2tsepmcon_rec-wore_run-02,3,2,2,3
sub-22,acq-t2tsepmcon_rec-wre_run-01,5,4,5,4
